timestamp,datetime,index_value,fetched_at,date,source_endpoint
1756368420,2025-08-28 13:52:00,2792.8,2025-08-30 12:59:55.627768,2025-08-30,DailyNepseIndexGraph
1756368480,2025-08-28 13:53:00,2792.97,2025-08-30 12:59:55.627776,2025-08-30,DailyNepseIndexGraph
1756368540,2025-08-28 13:54:00,2792.7,2025-08-30 12:59:55.627784,2025-08-30,DailyNepseIndexGraph
1756368600,2025-08-28 13:55:00,2791.92,2025-08-30 12:59:55.627791,2025-08-30,DailyNepseIndexGraph
1756368660,2025-08-28 13:56:00,2790.43,2025-08-30 12:59:55.627798,2025-08-30,DailyNepseIndexGraph
1756368720,2025-08-28 13:57:00,2790.37,2025-08-30 12:59:55.627805,2025-08-30,DailyNepseIndexGraph
1756368780,2025-08-28 13:58:00,2789.95,2025-08-30 12:59:55.627813,2025-08-30,DailyNepseIndexGraph
1756368840,2025-08-28 13:59:00,2788.5,2025-08-30 12:59:55.627820,2025-08-30,DailyNepseIndexGraph
1756368900,2025-08-28 14:00:00,2787.77,2025-08-30 12:59:55.627827,2025-08-30,DailyNepseIndexGraph
1756368960,2025-08-28 14:01:00,2787.78,2025-08-30 12:59:55.627835,2025-08-30,DailyNepseIndexGraph
1756369020,2025-08-28 14:02:00,2787.18,2025-08-30 12:59:55.627842,2025-08-30,DailyNepseIndexGraph
1756369080,2025-08-28 14:03:00,2786.51,2025-08-30 12:59:55.627850,2025-08-30,DailyNepseIndexGraph
1756369140,2025-08-28 14:04:00,2786.34,2025-08-30 12:59:55.627857,2025-08-30,DailyNepseIndexGraph
1756369200,2025-08-28 14:05:00,2785.97,2025-08-30 12:59:55.627864,2025-08-30,DailyNepseIndexGraph
1756369260,2025-08-28 14:06:00,2785.94,2025-08-30 12:59:55.627871,2025-08-30,DailyNepseIndexGraph
1756369320,2025-08-28 14:07:00,2785.79,2025-08-30 12:59:55.627878,2025-08-30,DailyNepseIndexGraph
1756369380,2025-08-28 14:08:00,2786.3,2025-08-30 12:59:55.627885,2025-08-30,DailyNepseIndexGraph
1756369440,2025-08-28 14:09:00,2785.8,2025-08-30 12:59:55.627892,2025-08-30,DailyNepseIndexGraph
1756369500,2025-08-28 14:10:00,2785.6,2025-08-30 12:59:55.627899,2025-08-30,DailyNepseIndexGraph
1756369560,2025-08-28 14:11:00,2785.62,2025-08-30 12:59:55.627906,2025-08-30,DailyNepseIndexGraph
1756369620,2025-08-28 14:12:00,2785.54,2025-08-30 12:59:55.627913,2025-08-30,DailyNepseIndexGraph
1756369680,2025-08-28 14:13:00,2787.86,2025-08-30 12:59:55.627920,2025-08-30,DailyNepseIndexGraph
1756369740,2025-08-28 14:14:00,2789.5,2025-08-30 12:59:55.627927,2025-08-30,DailyNepseIndexGraph
1756369800,2025-08-28 14:15:00,2791.28,2025-08-30 12:59:55.627935,2025-08-30,DailyNepseIndexGraph
1756369860,2025-08-28 14:16:00,2793.28,2025-08-30 12:59:55.627943,2025-08-30,DailyNepseIndexGraph
