ltp,percentageChange,pointChange,sectorName,symbol,totalTradeQuantity,totalTrades,totalTurnover,fetched_at,date,source_endpoint
0.0,0.0,0.0,Manufacturing And Processing,HTL,0,0,0.0,2025-08-30 12:59:55.483584,2025-08-30,TradeTurnoverTransactionSubindices
237.78,-1.48,-3.57,Hydro Power,HURJA,61625,208,14784968.1,2025-08-30 12:59:55.483588,2025-08-30,TradeTurnoverTransactionSubindices
670.46,-2.33,-15.96,Finance,ICFC,28273,186,19285432.5,2025-08-30 12:59:55.483591,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,ICFCD83,0,0,0.0,2025-08-30 12:59:55.483595,2025-08-30,TradeTurnoverTransactionSubindices
1090.0,1.87,20.0,Finance,ICFCD88,101,7,108090.0,2025-08-30 12:59:55.483598,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,IDBL,0,0,0.0,2025-08-30 12:59:55.483602,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,IFIL,0,0,0.0,2025-08-30 12:59:55.483605,2025-08-30,TradeTurnoverTransactionSubindices
530.65,-1.34,-7.21,Non Life Insurance,IGI,14163,105,7602226.4,2025-08-30 12:59:55.483608,2025-08-30,TradeTurnoverTransactionSubindices
563.34,-0.74,-4.18,Hydro Power,IHL,2619,74,1477646.5,2025-08-30 12:59:55.483611,2025-08-30,TradeTurnoverTransactionSubindices
1244.75,-1.7,-21.55,Microfinance,ILBS,19521,160,24378130.0,2025-08-30 12:59:55.483614,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,ILFC,0,0,0.0,2025-08-30 12:59:55.483618,2025-08-30,TradeTurnoverTransactionSubindices
453.14,-1.2,-5.51,Life Insurance,ILI,27705,427,12691752.5,2025-08-30 12:59:55.483621,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,IMEFI,0,0,0.0,2025-08-30 12:59:55.483624,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,INDB,0,0,0.0,2025-08-30 12:59:55.483627,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,INDBL,0,0,0.0,2025-08-30 12:59:55.483630,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,JALPA,0,0,0.0,2025-08-30 12:59:55.483634,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,JBBD87,0,0,0.0,2025-08-30 12:59:55.483637,2025-08-30,TradeTurnoverTransactionSubindices
336.45,-3.23,-11.23,Development Banks,JBBL,70948,338,24300853.6,2025-08-30 12:59:55.483640,2025-08-30,TradeTurnoverTransactionSubindices
1487.17,-0.94,-14.04,Microfinance,JBLB,10356,228,15410889.9,2025-08-30 12:59:55.483644,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,JBNL,0,0,0.0,2025-08-30 12:59:55.483647,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,JEFL,0,0,0.0,2025-08-30 12:59:55.483650,2025-08-30,TradeTurnoverTransactionSubindices
468.03,-1.88,-8.96,Finance,JFL,10725,112,5074284.0,2025-08-30 12:59:55.483653,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,JHBL,0,0,0.0,2025-08-30 12:59:55.483657,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Life Insurance,JLI,0,0,0.0,2025-08-30 12:59:55.483660,2025-08-30,TradeTurnoverTransactionSubindices
306.28,-0.57,-1.76,Hydro Power,JOSHI,15531,108,4784441.6,2025-08-30 12:59:55.483663,2025-08-30,TradeTurnoverTransactionSubindices
